month,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市
2024-01,17.341801075268815,19.541129032258063,17.06774193548387,17.969220430107526,18.7002688172043,20.13978494623656,17.408736559139786,17.918817204301074,18.408198924731185,17.58104838709677,17.96532258064516,18.063575268817203,17.794086021505375
2024-02,20.61925287356322,22.729885057471265,18.731896551724137,20.79353448275862,21.165517241379312,24.24612068965517,21.633477011494254,21.170402298850576,22.328879310344828,20.789798850574712,20.873850574712645,21.379741379310342,20.42456896551724
2024-03,19.76370967741936,20.3125,20.123655913978496,19.63978494623656,19.901075268817205,21.6997311827957,20.63548387096774,20.829032258064515,20.695833333333333,19.747580645161293,20.14596774193549,20.111693548387095,21.420295698924733
2024-04,18.19833333333333,19.88763888888889,17.188055555555554,18.52041666666667,19.160694444444445,20.40611111111111,17.933333333333334,17.858888888888888,18.118194444444445,17.87236111111111,18.49,18.29888888888889,17.653194444444445
2024-05,18.400672043010758,20.455241935483876,18.23763440860215,19.03682795698925,19.8239247311828,21.17284946236559,18.1989247311828,18.378360215053764,18.744354838709675,18.0502688172043,18.580913978494625,18.848790322580644,18.26344086021505
2024-06,16.41125,18.50736111111111,16.677222222222223,17.07027777777778,17.61638888888889,18.84625,16.98763888888889,17.044722222222223,17.969722222222224,16.273611111111112,16.719166666666666,17.385555555555555,17.037916666666664
2024-07,21.96008064516129,23.81290322580645,19.220564516129038,21.837365591397848,22.206586021505377,24.56599462365591,20.05887096774193,20.45215053763441,21.425,21.13508064516129,21.960483870967742,22.120026881720428,20.06935483870968
2024-08,13.73266129032258,14.282795698924732,14.426478494623655,13.631451612903223,14.04005376344086,15.846639784946236,13.624596774193549,13.771505376344086,14.22741935483871,13.599596774193548,13.720430107526882,14.006854838709678,13.890994623655914
2024-09,20.924027777777777,21.86583333333333,19.23444444444444,20.56833333333333,20.819444444444443,22.57847222222222,19.824027777777776,20.238888888888887,20.560138888888886,20.940555555555555,20.836666666666662,20.83972222222222,20.391527777777775
2024-10,18.585618279569893,21.295967741935485,15.59435483870968,19.45510752688172,20.39865591397849,22.069220430107528,16.430913978494623,17.628225806451614,19.099193548387092,18.676881720430107,18.546908602150538,19.318548387096776,16.81774193548387
2024-11,18.44236111111111,21.168055555555554,16.348194444444445,18.89625,19.964861111111112,21.375694444444445,17.34986111111111,18.19263888888889,18.97527777777778,18.935972222222222,19.104305555555555,19.43013888888889,17.855833333333333
2024-12,14.6133064516129,16.598252688172042,14.037903225806453,15.461021505376344,15.901612903225804,17.796505376344086,16.217741935483872,15.615188172043013,16.583333333333332,15.564516129032258,15.85793010752688,16.286424731182795,15.380913978494624
